driver_id,timestamp,speed,acceleration,brake_force,gps_lat,gps_long,overspeed,sudden_brake,sharp_turn,deviation_from_route,on_time_delivery,idle,fatigue_detected,score
D001,2025-06-01 08:00:00,41,1.96,0.28,14.526154,120.98865,0,0,0,1.9259394642194951,1,0,0,98.76665448220245
D001,2025-06-01 08:10:00,66,-2.31,1.18,14.554985,120.978769,0,1,0,3.6742819709388166,1,0,0,93.69314622615506
D001,2025-06-01 08:20:00,32,1.33,1.17,14.648517,120.908687,0,1,0,3.6061661783654024,1,0,0,93.75445043947114
D001,2025-06-01 08:30:00,78,0.05,0.42,14.650461,120.990489,0,0,0,2.0005602754594936,1,0,0,98.69949575208645
D001,2025-06-01 08:40:00,41,-0.7,1.12,14.580039,120.920074,0,1,0,3.883893179543617,1,0,0,93.50449613841074
D001,2025-06-01 08:50:00,41,-1.66,0.9,14.50613,121.043082,0,0,0,2.4699624743513957,1,0,0,98.27703377308374
D001,2025-06-01 09:00:00,59,0.83,0.03,14.512264,121.07947,0,0,0,3.5048309013640138,1,0,0,97.34565218877239
D001,2025-06-01 09:10:00,60,2.32,1.16,14.58472,120.93234,0,1,0,2.670128991419155,0,0,0,94.09688390772276
D001,2025-06-01 09:20:00,51,-0.87,0.36,14.600412,121.065064,0,0,0,2.578884585925616,0,0,0,97.67900387266694
D001,2025-06-01 09:30:00,43,-1.46,0.53,14.598461,121.049774,0,0,0,2.643505309172251,1,0,0,98.12084522174497
D001,2025-06-01 09:40:00,76,0.35,0.5,14.629186,121.006035,0,0,0,4.761055712152787,1,0,0,96.21504985906249
D001,2025-06-01 09:50:00,50,-2.13,0.76,14.50855,120.93347,0,0,0,1.066219627518405,1,0,0,99.54040233523344
D001,2025-06-01 10:00:00,43,-0.32,0.31,14.599301,121.030496,0,0,0,3.340365592145468,1,0,0,97.49367096706908
D001,2025-06-01 10:10:00,35,0.8,0.3,14.684421,121.006395,0,0,0,2.524230329040549,1,0,0,98.2281927038635
D001,2025-06-01 10:20:00,63,1.3,0.28,14.687709,121.022958,0,0,0,3.0859431790221086,1,0,0,97.7226511388801
D001,2025-06-01 10:30:00,56,-0.92,1.04,14.577944,121.002492,0,1,0,3.993062130155405,1,0,0,93.40624408286014
D001,2025-06-01 10:40:00,51,0.76,0.13,14.685911,120.987974,0,0,0,4.236395694921589,1,0,0,96.68724387457057
D001,2025-06-01 10:50:00,74,-1.43,0.3,14.659088,120.983259,0,0,0,2.509499320979409,1,0,0,98.24145061111854
D001,2025-06-01 11:00:00,66,-1.38,0.98,14.543572,120.935551,0,0,0,5.182513015340664,0,0,0,95.3357382861934
D001,2025-06-01 11:10:00,78,-1.15,0.89,14.507887,121.076032,0,0,0,1.8540713476186257,0,0,0,98.33133578714323
D001,2025-06-01 11:20:00,58,1.03,0.82,14.583157,120.967769,0,0,0,1.8896035868912755,1,0,0,98.79935677179785
D001,2025-06-01 11:30:00,66,2.03,1.16,14.624891,120.946945,0,1,0,2.7774942120272414,1,0,0,94.50025520917548
D001,2025-06-01 11:40:00,0,-1.38,0.14,14.640502,120.913476,0,0,0,5.7802058167431944,1,1,0,94.69781476493112
D001,2025-06-01 11:50:00,46,-1.62,0.18,14.535746,121.075234,0,0,0,5.7118201445326955,1,0,0,95.35936186992058
D001,2025-06-01 12:00:00,37,-1.55,1.11,14.517123,121.014287,0,1,0,4.6772678136730175,1,0,0,92.79045896769428
D001,2025-06-01 12:10:00,34,-1.37,0.23,14.606558,121.005637,0,0,0,1.1322411582484802,1,0,0,99.48098295757637
D001,2025-06-01 12:20:00,55,-0.44,0.11,14.680191,120.950552,0,0,0,1.7676765786830542,1,0,0,98.90909107918525
D001,2025-06-01 12:30:00,66,-0.16,0.98,14.509012,120.919946,0,0,0,3.8319166238257827,1,0,0,97.0512750385568
D001,2025-06-01 12:40:00,0,1.96,0.4,14.643063,121.077393,0,0,0,3.932519273120568,1,1,0,96.3607326541915
